asset_id,asset_type,section_type,zone,age_years,inspection_interval_days,last_inspection_days_ago,overdue_ratio,traffic_density_trains_per_day,max_speed_kmph,load_tonnage_daily,weather_exposure_index,temperature_extremity_index,gradient_curvature_index,condition_rating,corrosion_index,historical_failures_last_2yrs,avg_repair_time_hours,redundancy_available,distance_from_depot_km,passenger_footfall_daily,freight_value_index,trains_affected_if_failure,risk_score,failure_within_30_days,criticality_score,urgency_score,impact_score,final_priority_score
AST-000001,Points_and_Crossing,Branch_Line,Eastern,14.25,20,21.5,1.073,23.5,60,1201.7,0.831,0.706,0.166,2.45,0.62,2,18.6,False,17.9,470,0.703,22,0.6761,0,0.5081,0.3862,0.5081,0.528
AST-000002,Level_Crossing,Main_Line,NorthEastern,25.14,60,129.7,2.162,39.4,60,5038.2,0.842,0.17,0.373,1.02,0.52,1,21.8,False,21.5,569,0.19,35,0.7074,0,0.7279,0.6266,0.4896,0.6607
AST-000003,Signal,Siding,Southern,1.55,15,11.9,0.795,11.2,100,1130.0,0.67,0.611,0.096,4.2,0.448,0,19.1,False,45.1,459,0.212,11,0.2908,0,0.5011,0.2119,0.3449,0.3423
AST-000004,Bridge,Branch_Line,Southern,11.33,180,8.2,0.046,41.6,60,4672.8,0.616,0.24,0.085,5.0,0.562,0,5.5,False,14.9,1657,0.659,28,0.2641,0,0.7329,0.0122,0.6332,0.3971
AST-000005,Points_and_Crossing,Main_Line,Western,5.37,20,12.2,0.61,90.6,110,1852.5,0.55,0.318,0.323,4.19,0.42,0,8.3,False,8.0,3595,0.199,57,0.1783,0,0.8671,0.1628,0.8222,0.4776
AST-000006,OHE,Branch_Line,NorthEastern,5.89,45,11.4,0.253,23.1,60,2070.3,0.612,0.551,0.158,5.0,0.319,0,10.4,True,29.7,2507,0.662,3,0.3535,0,0.3312,0.0674,0.3588,0.2761
AST-000007,Points_and_Crossing,Main_Line,Eastern,12.51,20,56.2,2.809,26.3,100,3220.1,0.543,0.067,0.115,1.44,0.346,1,18.8,True,29.8,1880,0.405,8,0.6343,1,0.4645,0.7992,0.2843,0.5721
AST-000008,Track,Main_Line,Western,26.13,30,1.6,0.054,18.5,60,4518.5,0.651,0.162,0.291,4.43,0.207,0,15.7,False,75.6,2370,0.424,21,0.5121,0,0.574,0.0144,0.6048,0.4202
AST-000009,Bridge,Siding,Eastern,65.33,180,125.3,0.696,6.0,80,1330.9,0.755,0.412,0.364,3.1,0.444,1,6.4,True,1.7,363,0.724,1,0.6929,0,0.2336,0.2357,0.1808,0.364
AST-000010,Signal,Siding,Western,17.11,15,14.8,0.988,9.9,80,778.5,0.601,0.098,0.128,3.57,0.472,1,41.2,True,27.1,89,0.546,3,0.5092,1,0.2433,0.3135,0.134,0.3242
AST-000011,OHE,Yard,Central,29.45,45,49.5,1.099,9.1,60,1468.2,0.344,0.483,0.197,1.84,0.18,1,19.1,False,23.7,486,0.485,9,0.3607,0,0.4204,0.3431,0.3901,0.3786
AST-000012,Level_Crossing,Yard,Southern,18.73,60,40.7,0.678,16.8,110,2154.2,0.634,0.288,0.417,3.75,0.384,1,8.1,True,28.2,274,0.347,3,0.1736,0,0.3878,0.2308,0.1098,0.2426
AST-000013,Track,Branch_Line,Eastern,10.93,30,18.7,0.622,17.6,100,3048.8,0.825,0.355,0.334,3.7,0.484,0,15.7,True,19.5,173,0.033,4,0.1567,0,0.4014,0.166,0.0444,0.2156
AST-000014,OHE,Yard,Eastern,27.25,45,34.0,0.756,5.1,100,1213.7,0.711,0.128,0.187,2.61,0.589,1,31.4,True,5.3,351,0.355,1,0.5668,0,0.2627,0.2517,0.106,0.3277
AST-000015,Level_Crossing,Siding,Western,11.63,60,22.3,0.372,10.7,110,2419.7,0.49,0.31,0.472,4.29,0.29,1,16.3,True,28.9,766,0.138,3,0.2527,0,0.3554,0.1493,0.109,0.2361
